date;Volume;BS_flow_[m3/d];TS_BS_[gTS/L];VS_BS_[gVS/gTS];PS_flow_[m3/d];TS_PS_[gTS/L];VS_PS_[gVS/gTS];VSR
2015-08-18;60100.0;0.0;0.0;0.0;1909.456572411111;43.53;0.6896333421217707;57.323183623973925
2015-08-19;60100.0;0.0;0.0;0.0;1889.6419005888888;44.46951130004403;0.6884999978421511;57.30931306022199
2015-08-20;60100.0;0.0;0.0;0.0;1875.141174844444;47.510000000000005;0.6875999544718161;57.34775949225777
2015-08-21;60100.0;0.0;0.0;0.0;1863.8566445111107;52.03000000000001;0.687033324282248;57.42239642566135
2015-08-22;50800.0;0.0;0.0;0.0;1853.6252475222216;47.61;0.6844333442095588;57.51270755179504
2015-08-23;50800.0;0.0;0.0;0.0;1843.9841043555557;43.24;0.6845333770128714;57.642305858506425
2015-08-24;50800.0;0.0;0.0;0.0;1835.7078049222216;44.01;0.6838000255971599;57.78644903109119
2015-08-25;50800.0;0.0;0.0;0.0;1828.1922809;48.5;0.6833000226099094;57.88864574758063
2015-08-26;50800.0;0.0;0.0;0.0;1820.487320644444;44.9;0.6826333605211274;57.961149477310464
2015-08-27;50800.0;0.0;0.0;0.0;1812.7436086555551;47.6;0.6843333786069;58.03311338379951
2015-08-28;50800.0;0.0;0.0;0.0;1806.9451993777773;44.1;0.6854000331922827;58.12135757681316
2015-08-29;50800.0;0.0;0.0;0.0;1803.598874844444;46.33;0.6812000320225052;58.16485566411505
2015-08-30;50800.0;0.0;0.0;0.0;1802.5452731111109;45.98;0.6776666757667156;58.122874369086624
2015-08-31;50800.0;0.0;0.0;0.0;1803.0047485333328;48.17775913745166;0.6726666694824383;57.99511804350131
2015-09-01;50800.0;0.0;0.0;0.0;1803.630368022222;44.09;0.6720999981682503;57.83760394499095
2015-09-02;50800.0;0.0;0.0;0.0;1803.963186833333;38.83;0.6724666907259623;57.69097271931947
2015-09-03;50800.0;0.0;0.0;0.0;1805.2300660111107;41.75;0.6692000309370431;57.51478389012765
2015-09-04;50800.0;0.0;0.0;0.0;1806.689758244444;43.31;0.670533377701228;57.35676999809905
2015-09-05;50800.0;0.0;0.0;0.0;1808.6105085777772;40.1;0.6747667247776339;57.15594291505402
2015-09-06;50800.0;0.0;0.0;0.0;1811.1039434222216;41.96;0.6785000479787797;56.9915051708074
2015-09-07;50800.0;0.0;0.0;0.0;1814.3199369111107;45.17;0.6824000467668694;56.78409854764848
2015-09-08;50800.0;0.0;0.0;0.0;1819.754634333333;46.35;0.6845667121723659;56.57822775160979
2015-09-09;50800.0;0.0;0.0;0.0;1827.996125088889;49.67999999999999;0.6876667016208834;56.340604281337
2015-09-10;50800.0;0.0;0.0;0.0;1839.8428451555556;48.330000000000005;0.6909666899668908;56.09590814220882
