date;Volume;BS_flow_[m3/d];TS_BS_[gTS/L];VS_BS_[gVS/gTS];PS_flow_[m3/d];TS_PS_[gTS/L];VS_PS_[gVS/gTS];VSR
2016-03-08;120000.0;1647.8;43.75288169734552;0.8277259204634352;2244.5;71.83333333333333;0.7487666666666667;56.31651064508963
2016-03-09;120000.0;1656.6;43.65689512737506;0.8257936285762275;2239.833333333333;72.63333333333334;0.7491000000000001;56.40902620206769
2016-03-10;120000.0;1667.4;43.53151554291255;0.8276950681090581;2237.833333333333;72.77666666666666;0.7482;56.48961818045457
2016-03-11;120000.0;1675.0;43.543830702164165;0.8326640381302821;2235.333333333333;73.23333333333333;0.7463666666666667;56.53055246385147
2016-03-12;120000.0;1683.6;43.50327354920228;0.8290379570640827;2239.5;74.76333333333334;0.7467;56.555421383713785
2016-03-13;120000.0;1686.9333333333334;43.49464083736356;0.8354019319151277;2237.833333333333;75.25666666666667;0.7442666666666666;56.57943832140956
2016-03-14;120000.0;1709.6;43.52941647300944;0.832132535878756;2212.5;76.06;0.7432333333333333;56.57334768657392
2016-03-15;120000.0;1731.8;43.53759980542925;0.8231164611688664;2218.1666666666665;76.38000000000001;0.7419666666666667;56.55225878218424
2016-03-16;120000.0;1749.8;43.42064182223597;0.8008494760241346;2223.6666666666665;76.35666666666667;0.7409666666666667;56.55555194303437
2016-03-17;120000.0;1765.7333333333331;43.32216420340014;0.8213682018879093;2219.1666666666665;76.71666666666667;0.7408;56.5750046763121
2016-03-18;120000.0;1786.4;43.15515520626857;0.8022703935363332;2214.333333333333;77.02999999999999;0.7399666666666668;56.58808124197706
2016-03-19;120000.0;1793.9333333333334;43.04191149118477;0.7887748327460294;2207.0;77.89;0.7390000000000001;56.555199665323
2016-03-20;120000.0;1793.6666666666667;43.06112658955219;0.7928959567740154;2193.6666666666665;78.32666666666667;0.7384333333333333;56.55648803692509
