plant,date,VS_PS[%],T_ww[degC],HRT_AD[day],SRT_AS[day],m_PS[%],VSR_[%]
Dig5,2015-08-18,0.7227079276504326,21.51492733333335,35.15380358598739,0.0,1.0,57.32318362397393
Dig5,2015-08-19,0.7245554596687181,21.504611666666683,35.175572182320664,0.0,1.0,57.309313060222
Dig5,2015-08-20,0.7278212231113118,21.46400500000001,34.41881953695386,0.0,1.0,57.34775949225778
Dig5,2015-08-21,0.7289696657717751,21.44033500000001,33.96037253551509,0.0,1.0,57.42239642566136
Dig5,2015-08-22,0.7290774864850853,21.426200333333348,27.48965855460263,0.0,1.0,57.51270755179503
Dig5,2015-08-23,0.7314113670277209,21.412265000000016,27.565101030731466,0.0,1.0,57.642305858506425
Dig5,2015-08-24,0.7343639530540342,21.38235300000002,27.702371907441137,0.0,1.0,57.78644903109119
Dig5,2015-08-25,0.734035438606506,21.36915800000002,27.58175283458013,0.0,1.0,57.88864574758063
Dig5,2015-08-26,0.735074773475507,21.38058800000002,26.679654948642924,0.0,1.0,57.96114947731046
Dig5,2015-08-27,0.7361176974104091,21.33206466666668,25.54432082966557,0.0,1.0,58.0331133837995
Dig5,2015-08-28,0.7326130394259301,21.29470533333335,25.26046854937146,0.0,1.0,58.12135757681315
Dig5,2015-08-29,0.7302897380861297,21.29055066666668,24.87820933896884,0.0,1.0,58.164855664115045
Dig5,2015-08-30,0.7296459411481978,21.31395066666669,24.58145290730652,0.0,1.0,58.12287436908662
Dig5,2015-08-31,0.7292136683888127,21.345323333333354,24.70876833696948,0.0,1.0,57.99511804350131
Dig5,2015-09-01,0.7295741700150999,21.36261633333336,24.89342137543218,0.0,1.0,57.83760394499095
Dig5,2015-09-02,0.7297400756958548,21.373277666666688,24.92742067135452,0.0,1.0,57.69097271931947
Dig5,2015-09-03,0.731877635469458,21.37884266666669,24.49859261761674,0.0,1.0,57.514783890127646
Dig5,2015-09-04,0.7347327015984603,21.37798133333336,23.97282935581213,0.0,1.0,57.356769998099054
Dig5,2015-09-05,0.7372772402312484,21.37008366666669,23.514419697394672,0.0,1.0,57.15594291505403
Dig5,2015-09-06,0.7407463647921787,21.360379666666688,23.382834299040503,0.0,1.0,56.9915051708074
Dig5,2015-09-07,0.7437769512598679,21.351894000000023,23.514599591248608,0.0,1.0,56.78409854764848
Dig5,2015-09-08,0.7452279280477743,21.347053000000024,23.62987659310644,0.0,1.0,56.5782277516098
Dig5,2015-09-09,0.7466380990548199,21.34412766666669,23.86437818273687,0.0,1.0,56.340604281337
