,RMSE,MAE,bias
Dig1,4.303218797010247,3.4297542146153552,0.17851623831207067
Dig6,3.4866879433775995,3.1178317993225755,-0.44708071442840264
Dig3,2.980074273525787,2.275597291245638,-1.4094299746299372
Dig5,2.0900742584631313,1.7586061792512417,-0.14154402303849403
Dig4,4.75873037147886,3.7282772866813603,0.3629206402246158
Dig2,2.826466823592362,2.364758030814877,0.6480260180264887
