,Dig1,Dig4,Dig6,Dig5,Dig3,Dig2
RMSE,0.1470118573699341,0.11687353380045466,0.05466589770757556,0.05660477691604831,0.03540212261172618,0.08728597345723409
MAE,0.13680275966833327,0.10132989044235,0.04626420786454874,0.05285526442290539,0.029629829450090715,0.0786709533449699
bias,0.13680275966833327,0.10077124265741395,-0.031830668545761304,-0.05285526442290539,-0.028677333470253502,0.07661914391215459
