,Dig1,Dig4,Dig6,Dig5,Dig3,Dig2
RMSE,0.059108909453351274,0.056361346903568095,0.04832988956049761,0.019917954512499583,0.0183186277720551,0.03739221632542427
MAE,0.04798148279488356,0.045752748881761826,0.040206841591124455,0.016746199139508866,0.014590577422830044,0.028757514007536483
bias,0.003299824429039838,0.005760338566626053,-0.013126386586873462,0.0001815317315978543,0.0003183968873071468,0.0016841656107146657
